充电比容量/mAh/g,放电比容量/mAh/g
0.1,48.9
32.0,69.6
62.3,95.1
87.7,109.2
101.7,112.5
106.2,113.0
106.7,111.5
105.5,109.2
104.5,107.8
103.2,106.6
102.0,104.5
100.9,103.8
100.1,103.1
98.6,101.5
98.0,100.7
96.8,99.4
96.6,98.9
95.0,97.9
94.5,96.7
92.9,95.0
91.7,94.0
90.9,93.1
91.9,94.9
91.5,93.8
90.5,91.8
86.9,89.5
87.1,88.9
86.5,88.6
85.1,87.6
84.5,86.9
84.0,86.1
83.3,85.2
83.2,85.0
81.7,84.0
81.1,83.6
81.5,83.3
80.0,82.4
79.3,81.4
79.4,81.7
78.4,80.5
78.5,80.7
77.4,79.1
76.6,78.8
76.7,79.1
77.0,78.8
75.8,77.8
75.2,77.3
75.5,77.4
74.0,76.3
74.0,76.0
73.1,75.2
72.7,75.0
72.5,74.6
72.1,74.3
71.9,74.1
71.7,73.8
71.4,73.3
70.6,72.4
70.2,72.7
70.7,72.4
69.8,72.3
70.0,71.4
69.8,72.0
69.0,71.4
69.0,70.4
68.8,70.9
67.9,70.2
68.5,70.3
67.5,69.7
68.3,70.4
67.3,68.9
67.1,69.4
66.3,68.7
66.8,68.3
66.1,68.0
65.5,67.7
66.2,67.9
65.1,67.5
65.9,67.6
65.2,66.8
64.4,66.6
64.8,67.1
64.3,66.1
63.8,65.7
63.7,65.9
63.5,64.9
63.5,65.8
63.1,64.7
63.4,65.2
62.6,64.8
62.6,64.7
62.6,64.8
62.6,64.2
62.3,63.9
61.8,64.2
61.8,63.2
61.8,63.9
61.6,63.1
61.1,63.2
61.4,63.7
61.7,63.6
61.1,62.6
61.2,63.0
60.2,61.8
60.2,62.6
60.6,61.7
59.5,61.3
59.9,61.8
60.3,62.0
60.2,61.2
58.9,60.5
58.8,60.6
59.0,60.9
59.4,61.4
59.4,60.8
58.5,59.9
58.2,59.7
58.0,59.6
58.0,59.8
58.4,60.0
58.8,60.6
58.6,59.9
57.8,59.0
57.1,58.6
57.1,59.0
57.7,59.6
57.6,58.5
56.3,58.2
56.5,58.4
56.8,58.9
57.7,58.9
56.4,57.9
56.1,58.0
56.4,58.3
56.9,58.4
56.3,57.6
55.6,57.1
55.4,57.1
55.8,57.4
55.7,57.5
55.8,57.7
55.5,56.7
54.6,56.4
55.6,57.2
54.9,56.4
54.8,56.3
54.8,56.1
54.2,56.4
55.2,56.5
54.4,55.6
53.9,55.3
54.0,55.6
54.3,56.0
54.4,56.0
54.3,55.8
54.1,55.6
53.8,55.3
53.6,55.3
53.6,55.4
53.6,55.3
53.8,55.7
53.7,55.6
53.4,55.0
52.8,54.3
52.3,54.2
52.9,55.1
53.5,54.9
52.5,53.7
52.8,54.9
52.3,53.7
52.8,55.5
52.8,53.7
52.4,54.3
52.7,53.9
51.6,53.0
52.2,54.2
51.8,52.9
51.0,53.3
51.8,52.7
51.3,53.4
51.4,52.4
51.3,53.1
50.8,52.4
51.2,52.4
51.1,52.4
50.9,52.5
50.6,52.5
50.4,52.0
50.7,51.8
50.4,52.3
50.1,51.5
50.4,51.9
49.7,51.5
50.2,51.3
49.4,51.7
50.6,52.0
49.8,50.8
49.2,50.9
50.0,52.1
49.9,51.0
48.9,51.3
50.1,50.9
49.0,51.1
49.5,50.6
48.9,51.0
49.1,50.2
49.1,50.5
48.6,50.5
48.6,50.5
48.9,50.2
48.9,50.0
48.8,50.5
48.0,50.1
48.4,49.7
48.3,46.8
