±»»›¡ø/mAh/g,µÁ—π/V
0.0,0.9888
0.0,0.9873
0.0,0.9856
0.0,0.9840
0.0,0.9826
0.0,0.9811
0.0,0.9797
0.0,0.9783
0.0,0.9770
0.0,0.9756
0.0,0.9744
0.0,0.9732
0.0,0.9721
0.0,0.9708
0.0,0.9697
0.0,0.9688
0.0,0.9677
0.0,0.9666
0.0,0.9657
0.0,0.9648
0.0,0.9637
0.0,0.9629
0.0,0.9620
0.0,0.9611
0.0,0.9603
0.0,0.9594
0.0,0.9586
0.0,0.9580
0.0,0.9570
0.0,0.9564
0.0,0.9556
0.0,0.9549
0.0,0.9541
0.0,0.9535
0.0,0.9527
0.0,0.9521
0.0,0.9515
0.0,0.9507
0.0,0.9501
0.0,0.9494
0.0,0.9488
0.0,0.9482
0.0,0.9476
0.0,0.9470
0.0,0.9465
0.0,0.9459
0.0,0.9454
0.0,0.9448
0.0,0.9442
0.0,0.9437
0.0,0.9432
0.0,0.9426
0.0,0.9422
0.0,0.9417
0.0,0.9412
0.0,0.9406
0.0,0.9403
0.0,0.9397
0.0,0.9392
0.0,0.9387
0.0,0.9384
0.0,0.9380
0.0,0.9375
0.0,0.9370
0.0,0.9366
0.0,0.9361
0.0,0.9358
0.0,0.9353
0.0,0.9349
0.0,0.9346
0.0,0.9341
0.0,0.9338
0.0,0.9333
0.0,0.9328
0.0,0.9325
0.0,0.9321
0.0,0.9318
0.0,0.9315
0.0,0.9310
0.0,0.9307
0.0,0.9304
0.0,0.9299
0.0,0.9296
0.0,0.9293
0.0,0.9290
0.0,0.9287
0.0,0.9282
0.0,0.9279
0.0,0.9276
0.0,0.9273
0.0,0.9270
0.0,0.9266
0.0,0.9263
0.0,0.9260
0.0,0.9257
0.0,0.9254
0.0,0.9253
0.0,0.9249
0.0,0.9246
0.0,0.9243
0.0,0.9240
0.0,0.9239
0.0,0.9235
0.0,0.9234
0.0,0.9231
0.0,0.9229
0.0,0.9226
0.0,0.9223
0.0,0.9220
0.0,0.9217
0.0,0.9215
0.0,0.9212
0.0,0.9209
0.0,0.9206
0.0,0.9204
0.0,0.9201
0.0,0.9198
0.0,0.9197
0.0,0.9194
0.0,0.9192
0.0,0.9189
0.0,0.9187
0.0,0.9184
0.0,0.9183
0.0,0.9180
0.0,0.9178
0.0,0.9175
0.0,0.9173
0.0,0.9170
0.0,0.9169
0.0,0.9166
0.0,0.9164
0.0,0.9163
0.0,0.9160
0.0,0.9158
0.0,0.9156
0.0,0.9153
0.0,0.9152
0.0,0.9149
0.0,0.9147
0.0,0.9144
0.0,0.9142
0.0,0.9141
0.0,0.9139
0.0,0.9136
0.0,0.9135
0.0,0.9133
0.0,0.9130
0.0,0.9129
0.0,0.9127
0.0,0.9125
0.0,0.9124
0.0,0.9122
0.0,0.9119
0.0,0.9118
0.0,0.9116
0.0,0.9115
0.0,0.9113
0.0,0.9111
0.0,0.9110
0.0,0.9108
0.0,0.9107
0.0,0.9105
0.0,0.9102
0.0,0.9102
0.0,0.9099
0.0,0.9098
0.0,0.9096
0.0,0.9094
0.0,0.9093
0.0,0.9091
0.0,0.9090
0.0,0.9088
0.0,0.9087
0.0,0.9085
0.0,0.9084
0.0,0.9082
0.0,0.9079
0.0,0.9077
0.0,0.9076
0.0,0.9074
0.0,0.9073
0.0,0.9071
0.0,0.9070
0.0,0.9068
0.0,0.9067
0.0,0.9067
0.0,0.9063
0.0,0.9063
0.0,0.9062
0.0,0.9060
0.0,0.9059
0.0,0.9057
0.0,0.9056
0.0,0.9054
0.0,0.9053
0.0,0.9053
0.0,0.9051
0.0,0.9049
0.0,0.9048
0.0,0.9046
0.0,0.9045
0.0,0.9043
0.0,0.9042
0.0,0.9040
0.0,0.9039
0.0,0.9037
0.0,0.9037
0.0,0.9036
0.0,0.9034
0.0,0.9032
0.0,0.9031
0.0,0.9029
0.0,0.9028
0.0,0.9028
0.0,0.9026
0.0,0.9025
0.0,0.9023
0.0,0.9023
0.0,0.9022
0.0,0.9020
0.0,0.9018
0.0,0.9018
0.0,0.9017
0.0,0.9015
0.0,0.9015
0.0,0.9014
0.0,0.9012
0.0,0.9012
0.0,0.9011
0.0,0.9009
0.0,0.9008
0.0,0.9008
0.0,0.9006
0.0,0.9006
0.0,0.9005
0.0,0.9003
0.0,0.9001
0.0,0.9001
0.0,0.9001
0.0,0.9000
0.0,0.8998
0.0,0.8997
0.0,0.8995
0.0,0.8995
0.0,0.8994
0.0,0.8992
0.0,0.8992
0.0,0.8991
0.0,0.8989
0.0,0.8989
0.0,0.8987
0.0,0.8986
0.0,0.8986
0.0,0.8984
0.0,0.8984
0.0,0.8983
0.0,0.8983
0.0,0.8981
0.0,0.8980
0.0,0.8980
0.0,0.8978
0.0,0.8978
0.0,0.8977
0.0,0.8977
0.0,0.8975
0.0,0.8974
0.0,0.8974
0.0,0.8972
0.0,0.8970
0.0,0.8970
0.0,0.8969
0.0,0.8967
0.0,0.8967
0.0,0.8966
0.0,0.8964
0.0,0.8964
0.0,0.8963
0.0,0.8963
0.0,0.8961
0.0,0.8961
0.0,0.8960
0.0,0.8960
0.0,0.8958
0.0,0.8958
0.0,0.8956
0.0,0.8956
0.0,0.8955
0.0,0.8955
0.0,0.8953
0.0,0.8953
0.0,0.8952
0.0,0.8952
0.0,0.8952
0.0,0.8950
0.0,0.8950
0.0,0.8949
0.0,0.8949
0.0,0.8947
0.0,0.8947
0.0,0.8946
0.0,0.8946
0.0,0.8944
0.0,0.8943
0.0,0.8943
0.0,0.8941
0.0,0.8941
0.0,0.8939
0.0,0.8939
0.0,0.8938
0.0,0.8938
0.0,0.8936
0.0,0.8936
0.0,0.8935
0.0,0.8935
0.0,0.8933
0.0,0.8933
